"date","close","open","high","low","volume","change"
"13/12/2024","4.946,00","4.962,50","4.964,00","4.904,50","","0,00"
"12/12/2024","4.946,00","4.922,00","4.966,50","4.904,00","","0,84"
"11/12/2024","4.905,00","4.937,00","4.942,50","4.914,00","","-0,33"
"10/12/2024","4.921,00","4.962,00","4.963,50","4.906,50","","-0,51"
"09/12/2024","4.946,00","4.955,00","4.969,00","4.919,00","","0,08"
"06/12/2024","4.942,00","4.942,50","4.973,50","4.860,00","","0,32"
"05/12/2024","4.926,00","4.840,00","4.964,50","4.838,00","","2,11"
"04/12/2024","4.824,00","4.929,50","4.944,50","4.839,00","","-1,83"
"03/12/2024","4.914,00","4.923,50","4.956,00","4.898,00","","0,24"
"02/12/2024","4.902,00","4.961,00","4.968,00","4.889,00","","-0,87"
"29/11/2024","4.945,00","4.949,00","4.971,00","4.902,50","","0,24"
"28/11/2024","4.933,00","4.939,00","4.940,00","4.861,00","","-0,10"
"27/11/2024","4.938,00","4.899,00","4.949,00","4.848,00","","0,78"
"26/11/2024","4.900,00","4.899,00","4.909,00","4.808,00","","0,00"
"25/11/2024","4.900,00","4.862,00","4.915,00","4.798,00","","1,14"
"22/11/2024","4.845,00","4.880,00","4.916,00","4.758,00","","-0,72"
"21/11/2024","4.880,00","4.907,00","4.914,00","4.803,00","","-0,57"
"20/11/2024","4.908,00","4.920,00","4.935,00","4.810,00","","-0,24"
"19/11/2024","4.920,00","4.930,00","4.932,00","4.821,00","","-0,18"
"18/11/2024","4.929,00","4.903,00","4.931,00","4.802,00","","0,53"
"15/11/2024","4.903,00","4.887,00","4.919,00","4.827,00","","0,33"
"14/11/2024","4.887,00","4.907,00","4.921,00","4.870,00","","-0,41"
"13/11/2024","4.907,00","4.918,00","4.950,00","4.843,00","","-0,22"
"12/11/2024","4.918,00","4.926,00","4.943,00","4.886,00","","-0,18"
"11/11/2024","4.927,00","4.945,00","4.962,00","4.866,00","","-0,36"
"08/11/2024","4.945,00","4.983,00","4.983,00","4.931,00","","-0,76"
"07/11/2024","4.983,00","4.948,00","4.990,00","4.915,00","","0,71"
"06/11/2024","4.948,00","5.022,00","5.025,00","4.901,00","","-1,47"
"05/11/2024","5.022,00","5.000,00","5.024,00","4.965,00","","0,46"
"04/11/2024","4.999,00","4.997,00","5.016,00","4.987,00","","0,40"
"01/11/2024","4.979,00","4.999,00","5.006,00","4.972,00","","-0,40"
"31/10/2024","4.999,00","4.989,00","5.001,00","4.967,00","","0,20"
"30/10/2024","4.989,00","4.972,00","4.996,00","4.957,00","","0,34"
"29/10/2024","4.972,00","4.970,00","4.980,00","4.947,00","","0,04"
"28/10/2024","4.970,00","4.962,00","4.975,00","4.953,00","","0,32"
"25/10/2024","4.954,00","4.969,00","4.980,00","4.954,00","","-0,32"
"24/10/2024","4.970,00","4.979,00","4.982,00","4.934,00","","-0,16"
"23/10/2024","4.978,00","4.956,00","4.985,00","4.933,00","","0,44"
"22/10/2024","4.956,00","4.964,00","4.985,00","4.937,00","","-0,16"
"21/10/2024","4.964,00","4.983,00","4.989,00","4.946,00","","-0,16"
"18/10/2024","4.972,00","4.950,00","4.990,00","4.948,00","","0,44"
"17/10/2024","4.950,00","4.976,00","4.989,00","4.947,00","","-0,52"
"16/10/2024","4.976,00","4.989,00","5.005,00","4.957,00","","-0,26"
"15/10/2024","4.989,00","4.995,00","5.009,00","4.965,00","","-0,12"
"14/10/2024","4.995,00","4.985,00","5.006,00","4.966,00","","-0,20"
"11/10/2024","5.005,00","4.997,00","5.011,00","4.964,00","","0,12"
"10/10/2024","4.999,00","4.995,00","5.016,00","4.974,00","","0,08"
"09/10/2024","4.995,00","5.006,00","5.023,00","4.984,00","","-0,22"
"08/10/2024","5.006,00","4.999,00","5.023,00","4.970,00","","0,14"
"07/10/2024","4.999,00","5.000,00","5.034,00","4.961,00","","-0,04"
"04/10/2024","5.001,00","5.014,00","5.039,00","4.973,00","","-0,24"
"03/10/2024","5.013,00","5.023,00","5.038,00","4.987,00","","-0,20"
"02/10/2024","5.023,00","5.022,00","5.043,00","4.886,00","","0,02"
"01/10/2024","5.022,00","5.052,00","5.058,00","4.914,00","","-0,59"
"30/09/2024","5.052,00","5.056,00","5.080,00","4.927,00","","-0,12"
"27/09/2024","5.058,00","5.063,00","5.071,00","4.929,00","","-0,10"
"26/09/2024","5.063,00","5.017,00","5.066,00","4.914,00","","0,02"
"25/09/2024","5.062,00","5.062,00","5.072,00","4.937,00","","-0,02"
"24/09/2024","5.063,00","5.028,00","5.063,00","4.907,00","","0,70"
"23/09/2024","5.028,00","5.050,00","5.052,00","4.927,00","","-0,46"
"20/09/2024","5.051,00","5.053,00","5.057,00","4.928,00","","-0,04"
"19/09/2024","5.053,00","5.035,00","5.056,00","4.888,00","","0,36"
"18/09/2024","5.035,00","5.035,00","5.068,00","4.908,00","","0,00"
"17/09/2024","5.035,00","5.043,00","5.045,00","4.911,00","","-0,16"
"16/09/2024","5.043,00","5.019,00","5.043,00","4.894,00","","0,62"
"13/09/2024","5.012,00","4.993,00","5.026,00","4.889,00","","-0,53"
"12/09/2024","5.038,50","4.984,00","5.016,00","4.860,00","","1,09"
"11/09/2024","4.984,00","4.986,00","5.004,00","4.865,00","","-0,06"
"10/09/2024","4.987,00","4.992,00","5.031,00","4.870,00","","-0,12"
"09/09/2024","4.993,00","5.014,00","5.031,00","4.882,00","","-0,44"
"06/09/2024","5.015,00","5.046,00","5.050,00","4.907,00","","-0,61"
"05/09/2024","5.046,00","5.018,00","5.048,00","4.981,00","","0,54"
"04/09/2024","5.019,00","5.017,00","5.037,00","4.880,00","","0,04"
"03/09/2024","5.017,00","5.020,00","5.029,00","4.888,00","","-0,08"
"02/09/2024","5.021,00","5.017,00","5.027,00","4.971,00","","0,06"
"30/08/2024","5.018,00","5.030,00","5.061,00","4.981,00","","-0,24"
"29/08/2024","5.030,00","5.047,00","5.063,00","4.976,00","","-0,38"
"28/08/2024","5.049,00","5.073,00","5.080,00","4.979,00","","-0,47"
"27/08/2024","5.073,00","5.061,00","5.081,00","4.986,00","","-0,76"
