date,close,open,high,low,volume,change
2023-01-25,4647.0,4631.0,4650.0,4593.0,73270.0,-1.39
2023-01-24,4712.5,4622.0,4637.0,4588.0,69960.0,1.91
2023-01-23,4624.0,4638.0,4667.0,4586.0,72120.0,-0.26
2023-01-20,4636.0,4652.0,4664.0,4572.0,77690.0,-0.32
2023-01-19,4651.0,4663.0,4753.0,4554.0,103080.0,-0.3
2023-01-18,4665.0,4703.0,4808.0,4661.0,110050.0,-0.81
2023-01-17,4703.0,4808.0,4829.0,4675.0,109150.0,-2.16
2023-01-16,4807.0,4814.0,4849.0,4740.0,66670.0,-0.1
2023-01-13,4812.0,4855.0,4867.0,4768.0,98460.0,-2.27
2023-01-12,4924.0,4847.0,4870.0,4783.0,96490.0,0.53
2023-01-11,4898.0,4838.0,4857.0,4768.0,88490.0,0.19
2023-01-10,4888.5,4813.0,4849.0,4764.0,95400.0,0.26
2023-01-09,4876.0,4730.0,4830.0,4726.0,88080.0,0.85
2023-01-06,4835.0,4710.0,4773.0,4675.0,95400.0,1.25
2023-01-05,4775.5,4741.0,4759.0,4674.0,82330.0,-0.69
2023-01-04,4808.5,4704.0,4753.0,4687.0,91230.0,2.2
2023-01-03,4705.0,4757.0,4766.0,4683.0,95640.0,-1.09
2023-01-02,4757.0,4756.0,4775.0,4733.0,21560.0,-0.36
2022-12-30,4774.0,4753.0,4779.0,4733.0,72030.0,0.44
2022-12-29,4753.0,4727.0,4766.0,4721.0,60270.0,0.53
2022-12-28,4728.0,4733.0,4756.0,4713.0,56520.0,-0.08
2022-12-27,4732.0,4727.0,4746.0,4635.0,68890.0,0.13
2022-12-26,4726.0,4705.0,4727.0,4700.0,17940.0,0.4
2022-12-23,4707.0,4693.0,4715.0,4683.0,94870.0,0.3
2022-12-22,4693.0,4693.0,4718.0,4680.0,97830.0,0.02
2022-12-21,4692.0,4687.0,4710.0,4679.0,87340.0,0.13
2022-12-20,4686.0,4674.0,4706.0,4661.0,131240.0,0.26
2022-12-19,4674.0,4667.0,4697.0,4650.0,92330.0,0.21
2022-12-16,4664.0,4681.0,4698.0,4659.0,98050.0,-0.36
2022-12-15,4681.0,4695.0,4729.0,4661.0,97240.0,-0.32
2022-12-14,4696.0,4676.0,4701.0,4664.0,94280.0,0.43
2022-12-13,4676.0,4624.0,4695.0,4591.0,77510.0,1.1
2022-12-12,4625.0,4621.0,4644.0,4605.0,73410.0,0.04
2022-12-09,4623.0,4598.0,4642.0,4585.0,82790.0,0.57
2022-12-08,4597.0,4596.0,4625.0,4589.0,90880.0,0.02
2022-12-07,4596.0,4569.0,4615.0,4557.0,103240.0,0.57
2022-12-06,4570.0,4580.0,4597.0,4551.0,85040.0,-0.24
2022-12-05,4581.0,4584.0,4623.0,4572.0,91880.0,-0.28
2022-12-02,4594.0,4587.0,4596.0,4536.0,83240.0,0.15
2022-12-01,4587.0,4524.0,4591.0,4517.0,109320.0,1.39
2022-11-30,4524.0,4492.0,4536.0,4473.0,93170.0,0.71
2022-11-29,4492.0,4499.0,4523.0,4478.0,76210.0,-0.16
2022-11-28,4499.0,4482.0,4550.0,4376.0,79070.0,0.25
2022-11-25,4488.0,4504.0,4513.0,4393.0,71220.0,-0.36
2022-11-24,4504.0,4489.0,4513.0,4390.0,69600.0,0.33
2022-11-23,4489.0,4446.0,4492.0,4350.0,75550.0,0.97
2022-11-22,4446.0,4407.0,4448.0,4323.0,80220.0,0.88
2022-11-21,4407.0,4442.0,4444.0,4359.0,82830.0,-0.65
2022-11-18,4436.0,4448.0,4467.0,4374.0,96160.0,-0.27
2022-11-17,4448.0,4458.0,4468.0,4387.0,99510.0,-0.22
2022-11-16,4458.0,4437.0,4480.0,4367.0,104400.0,0.43
2022-11-15,4439.0,4427.0,4496.0,4358.0,105580.0,0.25
2022-11-14,4428.0,4437.0,4442.0,4354.0,104030.0,-0.07
2022-11-11,4431.0,4355.0,4436.0,4301.0,114930.0,1.72
2022-11-10,4356.0,4284.0,4373.0,4225.0,129860.00000000001,1.68
2022-11-09,4284.0,4293.0,4316.0,4248.0,118190.0,-0.21
2022-11-08,4293.0,4267.0,4310.0,4228.0,101800.0,0.63
2022-11-07,4266.0,4211.0,4284.0,4187.0,95190.0,0.31
2022-11-04,4253.0,4153.0,4255.0,4115.0,86810.0,2.38
2022-11-03,4154.0,4182.0,4191.0,4141.0,77010.0,-0.67
2022-11-02,4182.0,4201.0,4243.0,4168.0,78270.0,-0.45
2022-11-01,4201.0,4204.0,4235.0,4173.0,72040.0,-0.1
2022-10-31,4205.0,4227.0,4238.0,4194.0,75900.0,-0.71
2022-10-28,4235.0,4232.0,4246.0,4201.0,77330.0,0.09
2022-10-27,4231.0,4269.0,4280.0,4224.0,111980.0,-1.65
2022-10-26,4302.0,4227.0,4281.0,4203.0,85390.0,1.77
2022-10-25,4227.0,4154.0,4232.0,4154.0,75050.0,1.73
2022-10-24,4155.0,4150.0,4198.0,4137.0,91670.0,-1.11
2022-10-21,4201.5,4141.0,4180.0,4109.0,93710.0,0.65
2022-10-20,4174.5,4141.0,4167.0,4106.0,93650.0,0.07
2022-10-19,4171.5,4157.0,4165.0,4102.0,89780.0,-0.64
2022-10-18,4198.5,4153.0,4167.0,4133.0,100040.0,0.13
2022-10-17,4193.0,4113.0,4160.0,4087.0,89020.0,1.13
2022-10-14,4146.0,4108.0,4145.0,4071.0,109640.0,-0.25
2022-10-13,4156.5,4086.0,4132.0,4061.0,96380.0,0.63
2022-10-12,4130.5,4089.0,4101.0,4055.0,94270.0,-0.01
2022-10-11,4131.0,4076.0,4114.0,4056.0,127900.0,0.16
2022-10-10,4124.5,4073.0,4097.0,4048.0,97740.0,-0.4
2022-10-07,4141.0,4109.0,4123.0,4070.0,79530.0,-0.47
2022-10-06,4160.5,4145.0,4166.0,4097.0,90190.0,-0.91
2022-10-05,4198.5,4191.0,4195.0,4116.0,89740.0,-1.04
2022-10-04,4242.5,4061.0,4198.0,4055.0,87140.0,4.5
2022-10-03,4060.0,4108.0,4134.0,4037.0,98270.0,-2.44
2022-09-30,4161.5,4076.0,4128.0,3963.0,95100.0,0.3
2022-09-29,4149.0,4041.0,4090.0,4000.0,97310.0,0.84
2022-09-28,4114.5,4000.0,4048.0,3945.0,105490.0,1.27
2022-09-27,4063.0,3997.0,4025.0,3960.0,105190.0,-0.05
2022-09-26,4065.0,4002.0,4036.0,3971.0,110360.0,-0.78
2022-09-23,4097.0,4087.0,4093.0,3991.0,91930.0,-1.44
2022-09-22,4157.0,4070.0,4102.0,4034.0,104640.0,0.17
2022-09-21,4150.0,4125.0,4127.0,4043.0,88500.0,-1.33
2022-09-20,4206.0,4131.0,4154.0,4080.0,73990.0,-0.36
