"date","close","open","high","low","volume","change"
"13/12/2024","4.709,35","4.740,39","4.746,96","4.677,71","","-0,34"
"12/12/2024","4.725,32","4.689,40","4.741,97","4.668,46","","1,08"
"11/12/2024","4.674,90","4.689,41","4.689,41","4.689,40","","0,00"
"10/12/2024","4.674,91","4.701,75","4.718,51","4.655,75","","-0,25"
"09/12/2024","4.686,81","4.690,83","4.704,65","4.654,17","","0,22"
"06/12/2024","4.676,33","4.668,21","4.705,55","4.602,98","","0,50"
"05/12/2024","4.652,87","4.604,51","4.696,16","4.604,51","","1,37"
"04/12/2024","4.590,01","4.690,28","4.711,38","4.604,51","","-1,83"
"03/12/2024","4.675,78","4.724,47","4.726,95","4.654,84","","0,12"
"02/12/2024","4.670,00","4.710,10","4.737,34","4.653,89","","-0,12"
"29/11/2024","4.675,78","4.688,98","4.702,34","4.640,25","","0,03"
"28/11/2024","4.674,48","4.674,48","4.674,48","4.615,00","","0,00"
"27/11/2024","4.674,48","4.672,03","4.674,48","4.610,00","","0,05"
"26/11/2024","4.672,03","4.669,02","4.676,03","4.590,00","","0,06"
"25/11/2024","4.669,02","4.667,74","4.675,08","4.590,00","","0,41"
"22/11/2024","4.650,00","4.659,53","4.745,55","4.568,00","","-0,20"
"21/11/2024","4.659,53","4.650,00","4.685,93","4.565,00","","0,08"
"20/11/2024","4.655,66","4.654,00","4.682,14","4.550,00","","0,25"
"19/11/2024","4.644,00","4.640,00","4.675,02","4.555,00","","-0,16"
"18/11/2024","4.651,58","4.651,36","4.661,44","4.555,00","","0,00"
"15/11/2024","4.651,36","4.645,29","4.667,64","4.570,00","","0,23"
"14/11/2024","4.640,64","4.645,29","4.679,43","4.635,00","","-0,10"
"13/11/2024","4.645,29","4.653,70","4.681,47","4.560,00","","0,33"
"12/11/2024","4.630,00","4.624,66","4.660,94","4.604,66","","0,12"
"11/11/2024","4.624,66","4.614,08","4.649,76","4.555,00","","0,23"
"08/11/2024","4.614,08","4.611,83","4.623,97","4.575,37","","0,05"
"07/11/2024","4.611,83","4.611,83","4.611,83","4.570,00","","0,00"
"06/11/2024","4.611,83","4.594,81","4.648,22","4.570,00","","0,37"
"05/11/2024","4.594,81","4.595,78","4.595,78","4.560,00","","-0,02"
"04/11/2024","4.595,78","4.596,07","4.596,07","4.581,41","","-0,01"
"01/11/2024","4.596,07","4.595,61","4.596,07","4.590,00","","0,05"
"31/10/2024","4.593,63","4.595,61","4.598,71","4.570,14","","-0,04"
"30/10/2024","4.595,61","4.596,07","4.600,29","4.575,00","","-0,01"
"29/10/2024","4.596,07","4.599,23","4.616,95","4.580,00","","-0,02"
"28/10/2024","4.596,82","4.596,24","4.611,17","4.580,00","","0,14"
"25/10/2024","4.590,31","4.592,00","4.597,89","4.583,23","","0,01"
"24/10/2024","4.590,00","4.590,01","4.619,52","4.572,00","","-0,60"
"23/10/2024","4.617,59","4.590,01","4.623,66","4.584,00","","0,60"
"22/10/2024","4.590,01","4.590,01","4.613,60","4.565,86","","0,00"
"21/10/2024","4.590,01","4.588,48","4.602,10","4.560,00","","0,32"
"18/10/2024","4.575,42","4.582,46","4.601,25","4.565,00","","0,12"
"17/10/2024","4.570,00","4.581,29","4.610,83","4.560,00","","-0,25"
"16/10/2024","4.581,29","4.581,26","4.600,18","4.555,00","","0,00"
"15/10/2024","4.581,26","4.579,00","4.598,07","4.555,00","","0,05"
"14/10/2024","4.579,00","4.576,13","4.591,32","4.545,00","","0,06"
"11/10/2024","4.576,13","4.571,40","4.580,81","4.540,00","","0,10"
"10/10/2024","4.571,40","4.566,41","4.587,53","4.550,00","","0,11"
"09/10/2024","4.566,41","4.559,14","4.587,06","4.550,00","","0,16"
"08/10/2024","4.559,14","4.559,88","4.580,78","4.525,00","","0,08"
"07/10/2024","4.555,32","4.556,46","4.592,99","4.525,00","","-0,03"
"04/10/2024","4.556,46","4.551,25","4.589,85","4.525,00","","0,25"
"03/10/2024","4.545,00","4.547,91","4.572,12","4.520,00","","-0,06"
"02/10/2024","4.547,91","4.416,52","4.560,83","4.416,52","","0,22"
"01/10/2024","4.537,79","4.537,16","4.571,35","4.416,52","","0,01"
"30/09/2024","4.537,16","4.416,52","4.537,16","4.416,52","","0,13"
"27/09/2024","4.531,30","4.416,52","4.531,30","4.416,52","","0,02"
"26/09/2024","4.530,48","4.527,49","4.530,48","4.416,52","","-0,36"
"25/09/2024","4.547,00","4.499,21","4.528,56","4.416,52","","0,41"
"24/09/2024","4.528,56","4.416,52","4.528,56","4.416,52","","0,08"
"23/09/2024","4.524,75","4.416,52","4.540,28","4.416,52","","-0,01"
"20/09/2024","4.525,06","4.527,61","4.527,61","4.416,52","","-0,06"
"19/09/2024","4.527,61","4.505,50","4.529,02","4.416,52","","-0,03"
"18/09/2024","4.529,02","4.530,77","4.530,77","4.416,52","","-0,04"
"17/09/2024","4.530,77","4.416,52","4.531,17","4.416,52","","0,02"
"16/09/2024","4.530,00","4.416,52","4.531,21","4.416,52","","0,10"
"13/09/2024","4.525,32","4.416,52","4.531,89","4.416,52","","-0,54"
"12/09/2024","4.550,00","4.416,52","4.541,57","4.416,52","","0,52"
"11/09/2024","4.526,41","4.416,52","4.542,81","4.416,52","","0,02"
"10/09/2024","4.525,60","4.524,70","4.557,68","4.416,52","","0,02"
"09/09/2024","4.524,70","4.416,52","4.542,86","4.416,52","","0,00"
"06/09/2024","4.524,82","4.542,01","4.546,76","4.416,52","","-0,38"
"05/09/2024","4.542,01","4.542,01","4.542,25","4.490,00","","0,29"
"04/09/2024","4.528,84","4.543,09","4.547,10","4.416,52","","-0,31"
"03/09/2024","4.543,09","4.542,19","4.557,57","4.416,52","","0,17"
"02/09/2024","4.535,39","4.542,19","4.542,19","4.490,00","","-0,15"
"30/08/2024","4.542,19","4.541,07","4.568,92","4.490,00","","0,02"
"29/08/2024","4.541,07","4.540,09","4.570,99","4.490,00","","0,02"
"28/08/2024","4.540,09","4.540,66","4.558,50","4.478,00","","0,09"
"27/08/2024","4.536,12","4.545,13","4.555,85","4.468,00","","-0,96"
"26/08/2024","4.580,00","4.550,81","4.555,85","4.490,00","","0,64"
"23/08/2024","4.550,81","4.565,72","4.565,72","4.490,00","","-0,33"
"22/08/2024","4.565,72","4.565,73","4.565,73","4.504,00","","0,00"
"21/08/2024","4.565,73","4.568,74","4.568,74","4.499,00","","-0,85"
"20/08/2024","4.605,00","4.575,33","4.575,33","4.522,88","","0,65"
"19/08/2024","4.575,33","4.575,39","4.575,39","4.451,78","","-0,64"
"16/08/2024","4.605,00","4.572,90","4.575,39","4.472,03","","0,70"
"15/08/2024","4.572,90","4.572,90","4.572,90","4.572,90","","-0,70"
"14/08/2024","4.605,00","4.571,23","4.572,90","4.520,00","","0,74"
"13/08/2024","4.571,23","4.569,75","4.571,23","4.520,00","","0,13"
"12/08/2024","4.565,18","4.568,37","4.569,75","4.515,00","","-0,07"
"09/08/2024","4.568,37","4.564,11","4.568,37","4.515,00","","0,29"
"08/08/2024","4.555,00","4.560,75","4.564,11","4.520,00","","-0,03"
